"","Survey_OTU","Domain","Phylum","Class","Order","Family","Survey_Family_Mean"
"19","OTU1268","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae",0.0160288025251529
"45","OTU1636","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae",0.0160288025251529
"56","OTU1789","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","uncl_Deinococcales",0.0160288025251529
"78","OTU2138","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae",0.0160288025251529
"177","OTU833","Bacteria","Chlamydiae","Chlamydiia","uncl_Chlamydiia","uncl_Chlamydiia",0.0160288025251529
"64","OTU1954","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae",0.0147958177155257
"153","OTU632","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae",0.0147958177155257
"14","OTU1218","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae",0.0135628329058986
"18","OTU1241","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae",0.0135628329058986
"42","OTU1587","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae",0.0135628329058986
"152","OTU631","Bacteria","Abditibacteriota","uncl_Abditibacteriota","uncl_Abditibacteriota","uncl_Abditibacteriota",0.0135628329058986
"164","OTU705","Bacteria","Deinococcus-Thermus","Deinococci","uncl_Deinococci","uncl_Deinococci",0.0135628329058986
"26","OTU1385","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","uncl_Alteromonadales",0.0123298480962715
"35","OTU1491","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Thiobacillaceae",0.0123298480962715
"37","OTU1531","Bacteria","Rhodothermaeota","Rhodothermia","Rhodothermales","uncl_Rhodothermales",0.0123298480962715
"46","OTU1646","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae",0.0123298480962715
"70","OTU2011","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","uncl_Legionellales",0.0123298480962715
"86","OTU2266","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","uncl_Flavobacteriales",0.0123298480962715
"158","OTU677","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae",0.0123298480962715
"60","OTU1849","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillales_Incertae_Sedis_XI",0.0110968632866443
"68","OTU1993","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae",0.0110968632866443
"154","OTU646","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Azonexaceae",0.0110968632866443
"167","OTU740","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Hahellaceae",0.0110968632866443
"44","OTU1627","Bacteria","Chlamydiae","uncl_Chlamydiae","uncl_Chlamydiae","uncl_Chlamydiae",0.00986387847701716
"72","OTU2029","Bacteria","Balneolaeota","Balneolia","Balneolales","Balneolaceae",0.00986387847701716
"87","OTU2271","Bacteria","Poribacteria","uncl_Poribacteria","uncl_Poribacteria","uncl_Poribacteria",0.00986387847701716
"43","OTU1612","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_1",0.00863089366739002
"97","OTU2523","Bacteria","Rhodothermaeota","Rhodothermia","Rhodothermales","Rubricoccaceae",0.00863089366739002
"47","OTU1657","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae",0.00739790885776287
"49","OTU1699","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae",0.00739790885776287
"58","OTU1832","Bacteria","Deinococcus-Thermus","Deinococci","Thermales","Thermaceae",0.00739790885776287
"76","OTU2088","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Baekduiaceae",0.00739790885776287
