"","Survey_OTU","Domain","Phylum","Class","Order","Family","Genus","Survey_Genus_Mean"
"264","OTU763","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella",0.0184947721444072
"283","OTU909","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Conexibacteraceae","uncl_Conexibacteraceae",0.0184947721444072
"8","OTU1055","Bacteria","Firmicutes","Bacilli","Bacillales","uncl_Bacillales","uncl_Bacillales",0.01726178733478
"35","OTU1282","Bacteria","Acidobacteria","Acidobacteria_Gp1","uncl_Acidobacteria_Gp1","uncl_Acidobacteria_Gp1","Terriglobus",0.01726178733478
"36","OTU1293","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter",0.01726178733478
"88","OTU1733","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium",0.01726178733478
"135","OTU2169","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter",0.01726178733478
"155","OTU2408","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Alishewanella",0.01726178733478
"252","OTU701","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","uncl_Verrucomicrobiales","uncl_Verrucomicrobiales",0.01726178733478
"262","OTU749","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","uncl_Sphingobacteriales","uncl_Sphingobacteriales",0.01726178733478
"269","OTU814","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","uncl_Nitrospirales","uncl_Nitrospirales",0.01726178733478
"272","OTU825","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",0.01726178733478
"4","OTU1037","Bacteria","Chloroflexi","Caldilineae","Caldilineales","Caldilineaceae","Litorilinea",0.0160288025251529
"28","OTU1226","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","Deferribacteraceae","uncl_Deferribacteraceae",0.0160288025251529
"33","OTU1268","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","uncl_Polyangiaceae",0.0160288025251529
"74","OTU1636","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella",0.0160288025251529
"95","OTU1789","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","uncl_Deinococcales","uncl_Deinococcales",0.0160288025251529
"129","OTU2138","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus",0.0160288025251529
"273","OTU833","Bacteria","Chlamydiae","Chlamydiia","uncl_Chlamydiia","uncl_Chlamydiia","uncl_Chlamydiia",0.0160288025251529
"287","OTU922","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus",0.0160288025251529
"94","OTU1772","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia",0.0147958177155257
"236","OTU632","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","uncl_Ectothiorhodospiraceae",0.0147958177155257
"24","OTU1216","Bacteria","Acidobacteria","Acidobacteria_Gp1","uncl_Acidobacteria_Gp1","uncl_Acidobacteria_Gp1","Granulicella",0.0135628329058986
"25","OTU1218","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus",0.0135628329058986
"29","OTU1241","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","Nitrosospira",0.0135628329058986
"49","OTU1398","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium",0.0135628329058986
"70","OTU1587","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus",0.0135628329058986
"235","OTU631","Bacteria","Abditibacteriota","uncl_Abditibacteriota","uncl_Abditibacteriota","uncl_Abditibacteriota","uncl_Abditibacteriota",0.0135628329058986
"254","OTU705","Bacteria","Deinococcus-Thermus","Deinococci","uncl_Deinococci","uncl_Deinococci","uncl_Deinococci",0.0135628329058986
"47","OTU1385","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","uncl_Alteromonadales","uncl_Alteromonadales",0.0123298480962715
"59","OTU1491","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Thiobacillaceae","Thiobacillus",0.0123298480962715
"62","OTU1531","Bacteria","Rhodothermaeota","Rhodothermia","Rhodothermales","uncl_Rhodothermales","uncl_Rhodothermales",0.0123298480962715
"75","OTU1646","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Romboutsia",0.0123298480962715
"118","OTU2011","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","uncl_Legionellales","uncl_Legionellales",0.0123298480962715
