"","Exp_OTU","Domain","Phylum","Class","Order","Family","Genus","Exp_Genus_Mean"
"159","OTU303","Bacteria","Actinobacteria","Acidimicrobiia","uncl_Acidimicrobiia","uncl_Acidimicrobiia","uncl_Acidimicrobiia",0.0763105507631055
"180","OTU401","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Gallionellaceae","uncl_Gallionellaceae",0.0763105507631055
"55","OTU152","Bacteria","Acidobacteria","Acidobacteria_Gp7","uncl_Acidobacteria_Gp7","uncl_Acidobacteria_Gp7","uncl_Acidobacteria_Gp7",0.0746516257465163
"165","OTU329","Bacteria","candidate_division_WPS-1","uncl_candidate_division_WPS-1","uncl_candidate_division_WPS-1","uncl_candidate_division_WPS-1","uncl_candidate_division_WPS-1",0.0746516257465163
"206","OTU528","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","uncl_Planctomycetaceae",0.072992700729927
"157","OTU299","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Isosphaeraceae","Singulisphaera",0.0713337757133378
"171","OTU365","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Elizabethkingia",0.0713337757133378
"34","OTU1293","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter",0.0696748506967485
"161","OTU312","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Rubinisphaera",0.0696748506967485
"219","OTU646","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Azonexaceae","uncl_Azonexaceae",0.0696748506967485
"269","OTU946","Bacteria","Acidobacteria","Acidobacteria_Gp1","uncl_Acidobacteria_Gp1","uncl_Acidobacteria_Gp1","uncl_Acidobacteria_Gp1",0.0696748506967485
"42","OTU1392","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","uncl_Micrococcaceae",0.0680159256801593
"112","OTU214","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Jeotgalibacillus",0.0680159256801593
"187","OTU434","Bacteria","candidate_division_WPS-1","uncl_candidate_division_WPS-1","uncl_candidate_division_WPS-1","uncl_candidate_division_WPS-1","WPS-1_genera_incertae_sedis",0.0680159256801593
"12","OTU1132","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","uncl_Planococcaceae",0.06635700066357
"59","OTU158","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Luteolibacter",0.06635700066357
"216","OTU631","Bacteria","Abditibacteriota","uncl_Abditibacteriota","uncl_Abditibacteriota","uncl_Abditibacteriota","uncl_Abditibacteriota",0.06635700066357
"227","OTU688","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae","Blastocatella",0.06635700066357
"62","OTU1619","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Isosphaeraceae","uncl_Isosphaeraceae",0.0646980756469808
"253","OTU852","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium",0.0646980756469808
"221","OTU662","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",0.0630391506303915
"170","OTU359","Bacteria","Verrucomicrobia","Opitutae","Opitutales","Opitutaceae","uncl_Opitutaceae",0.0613802256138023
"238","OTU749","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","uncl_Sphingobacteriales","uncl_Sphingobacteriales",0.0613802256138023
"235","OTU741","Bacteria","Proteobacteria","Oligoflexia","Bacteriovoracales","Bacteriovoracaceae","Peredibacter",0.059721300597213
"258","OTU895","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Gemmataceae","Telmatocola",0.059721300597213
"271","OTU973","Bacteria","Acidobacteria","Acidobacteria_Gp2","uncl_Acidobacteria_Gp2","uncl_Acidobacteria_Gp2","Gp2",0.059721300597213
"56","OTU1532","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",0.0564034505640345
"275","OTU993","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Labilitrichaceae","Labilithrix",0.053085600530856
"256","OTU872","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",0.0497677504976775
