"","Exp_OTU","Domain","Phylum","Class","Order","Family","Genus","Exp_Genus_Mean"
"75","OTU1745","Bacteria","Chloroflexi","Anaerolineae","Aggregatilineales","Aggregatilineaceae","Aggregatilinea",0.006635700066357
"103","OTU2061","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Methylophilaceae","Methylotenera",0.006635700066357
"143","OTU2518","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","uncl_Devosiaceae",0.006635700066357
"243","OTU765","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","uncl_Micrococcales","uncl_Micrococcales",0.006635700066357
"273","OTU983","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cyclobacteriaceae","Algoriphagus",0.006635700066357
"2","OTU1028","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Pontibacter",0.00497677504976775
"38","OTU1323","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","uncl_Desulfovibrionales","uncl_Desulfovibrionales",0.00497677504976775
"41","OTU1378","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Ferruginibacter",0.00497677504976775
"66","OTU1664","Bacteria","Proteobacteria","Gammaproteobacteria","Nevskiales","Nevskiaceae","uncl_Nevskiaceae",0.00497677504976775
"91","OTU1917","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Chromobacteriaceae","Microvirgula",0.00497677504976775
"93","OTU1954","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Marinobacter",0.00497677504976775
"96","OTU1987","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","uncl_Flavobacteriales","uncl_Flavobacteriales",0.00497677504976775
"109","OTU2113","Bacteria","Acidobacteria","Acidobacteria_Gp1","uncl_Acidobacteria_Gp1","uncl_Acidobacteria_Gp1","Gp1",0.00497677504976775
"111","OTU2138","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus",0.00497677504976775
"115","OTU2166","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Blastomonas",0.00497677504976775
"129","OTU2272","Bacteria","Proteobacteria","Oligoflexia","uncl_Oligoflexia","uncl_Oligoflexia","uncl_Oligoflexia",0.00497677504976775
"130","OTU2285","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","uncl_Legionellaceae",0.00497677504976775
"136","OTU2401","Bacteria","Chloroflexi","Caldilineae","Caldilineales","Caldilineaceae","Caldilinea",0.00497677504976775
"141","OTU2504","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Fuscovulum",0.00497677504976775
"265","OTU934","Bacteria","Nitrospirae","uncl_Nitrospirae","uncl_Nitrospirae","uncl_Nitrospirae","uncl_Nitrospirae",0.00497677504976775
"22","OTU1214","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","uncl_Propionibacteriales","uncl_Propionibacteriales",0.0033178500331785
"26","OTU1226","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","Deferribacteraceae","uncl_Deferribacteraceae",0.0033178500331785
"64","OTU1652","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","uncl_Nocardioidaceae",0.0033178500331785
"68","OTU1699","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","uncl_Hyphomonadaceae",0.0033178500331785
"114","OTU2154","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium",0.0033178500331785
"132","OTU2331","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","uncl_Oceanospirillales","uncl_Oceanospirillales",0.0033178500331785
"169","OTU357","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","uncl_Erythrobacteraceae",0.0033178500331785
"232","OTU709","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Muriicola",0.0033178500331785
"250","OTU833","Bacteria","Chlamydiae","Chlamydiia","uncl_Chlamydiia","uncl_Chlamydiia","uncl_Chlamydiia",0.0033178500331785
"274","OTU991","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Maribacter",0.0033178500331785
"4","OTU1037","Bacteria","Chloroflexi","Caldilineae","Caldilineales","Caldilineaceae","Litorilinea",0.00165892501658925
"27","OTU1244","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Mariniblastus",0.00165892501658925
"39","OTU1340","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Amaricoccus",0.00165892501658925
"48","OTU1428","Bacteria","Planctomycetes","Phycisphaerae","uncl_Phycisphaerae","uncl_Phycisphaerae","uncl_Phycisphaerae",0.00165892501658925
"50","OTU1451","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","uncl_Hymenobacteraceae",0.00165892501658925
"60","OTU1592","Bacteria","Bacteroidetes","Chitinophagia","uncl_Chitinophagia","uncl_Chitinophagia","uncl_Chitinophagia",0.00165892501658925
"77","OTU1764","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae","Sandaracinus",0.00165892501658925
"82","OTU1832","Bacteria","Deinococcus-Thermus","Deinococci","Thermales","Thermaceae","Thermus",0.00165892501658925
"84","OTU1846","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","Deferribacteraceae","Calditerrivibrio",0.00165892501658925
"87","OTU1866","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Novosphingobium",0.00165892501658925
"90","OTU1893","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","uncl_Phyllobacteriaceae",0.00165892501658925
"101","OTU2021","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","uncl_Carnobacteriaceae",0.00165892501658925
"104","OTU2074","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","uncl_Acidimicrobiaceae",0.00165892501658925
"124","OTU2229","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Rhodopirellula",0.00165892501658925
"142","OTU2508","Bacteria","Chlamydiae","uncl_Chlamydiae","uncl_Chlamydiae","uncl_Chlamydiae","uncl_Chlamydiae",0.00165892501658925
"224","OTU677","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","uncl_Cytophagaceae",0.00165892501658925
