"","Domain","Phylum","Class","Order","Family","Genus"
"OTU1664","Bacteria","Proteobacteria","Gammaproteobacteria","Nevskiales","Nevskiaceae","uncl_Nevskiaceae"
"OTU563","Bacteria","Verrucomicrobia","uncl_Verrucomicrobia","uncl_Verrucomicrobia","uncl_Verrucomicrobia","uncl_Verrucomicrobia"
"OTU259","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"OTU1166","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Gemmataceae","uncl_Gemmataceae"
"OTU472","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Marinomonas"
"OTU301","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Gemmataceae","uncl_Gemmataceae"
"OTU1482","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","uncl_Rhodocyclaceae"
"OTU1289","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"OTU2077","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium"
"OTU1751","Bacteria","Candidatus_Saccharibacteria","uncl_Candidatus_Saccharibacteria","uncl_Candidatus_Saccharibacteria","uncl_Candidatus_Saccharibacteria","Saccharibacteria_genera_incertae_sedis"
"OTU2138","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus"
"OTU1266","Bacteria","Planctomycetes","Planctomycetacia","uncl_Planctomycetacia","uncl_Planctomycetacia","uncl_Planctomycetacia"
"OTU1925","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","uncl_Oxalobacteraceae"
"OTU1401","Bacteria","Acidobacteria","uncl_Acidobacteria","uncl_Acidobacteria","uncl_Acidobacteria","uncl_Acidobacteria"
"OTU1028","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Pontibacter"
"OTU366","Bacteria","Proteobacteria","Betaproteobacteria","uncl_Betaproteobacteria","uncl_Betaproteobacteria","uncl_Betaproteobacteria"
"OTU362","Bacteria","Acidobacteria","Acidobacteria_Gp6","uncl_Acidobacteria_Gp6","uncl_Acidobacteria_Gp6","Gp6"
"OTU750","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae","Stenotrophobacter"
"OTU25","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"OTU2271","Bacteria","Poribacteria","uncl_Poribacteria","uncl_Poribacteria","uncl_Poribacteria","Poribacteria_genera_incertae_sedis"
"OTU686","Bacteria","Proteobacteria","Betaproteobacteria","uncl_Betaproteobacteria","uncl_Betaproteobacteria","uncl_Betaproteobacteria"
"OTU973","Bacteria","Acidobacteria","Acidobacteria_Gp2","uncl_Acidobacteria_Gp2","uncl_Acidobacteria_Gp2","Gp2"
"OTU2169","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter"
"OTU966","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella"
"OTU983","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cyclobacteriaceae","Algoriphagus"
"OTU172","Bacteria","Acidobacteria","Acidobacteria_Gp6","uncl_Acidobacteria_Gp6","uncl_Acidobacteria_Gp6","Gp6"
"OTU670","Bacteria","Bacteroidetes","uncl_Bacteroidetes","uncl_Bacteroidetes","uncl_Bacteroidetes","uncl_Bacteroidetes"
"OTU458","Bacteria","Verrucomicrobia","Subdivision3","uncl_Subdivision3","uncl_Subdivision3","Subdivision3_genera_incertae_sedis"
"OTU1947","Bacteria","Proteobacteria","uncl_Proteobacteria","uncl_Proteobacteria","uncl_Proteobacteria","uncl_Proteobacteria"
"OTU263","Bacteria","Proteobacteria","Betaproteobacteria","uncl_Betaproteobacteria","uncl_Betaproteobacteria","uncl_Betaproteobacteria"
"OTU74","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas"
"OTU2170","Bacteria","Acidobacteria","uncl_Acidobacteria","uncl_Acidobacteria","uncl_Acidobacteria","uncl_Acidobacteria"
"OTU1917","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Chromobacteriaceae","Microvirgula"
"OTU2078","Bacteria","Proteobacteria","Betaproteobacteria","uncl_Betaproteobacteria","uncl_Betaproteobacteria","uncl_Betaproteobacteria"
"OTU1815","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"OTU1251","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","uncl_Chitinophagales","uncl_Chitinophagales"
"OTU1959","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"OTU949","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","uncl_Burkholderiales","uncl_Burkholderiales"
"OTU1109","Bacteria","Proteobacteria","Alphaproteobacteria","uncl_Alphaproteobacteria","uncl_Alphaproteobacteria","uncl_Alphaproteobacteria"
"OTU1592","Bacteria","Bacteroidetes","Chitinophagia","uncl_Chitinophagia","uncl_Chitinophagia","uncl_Chitinophagia"
"OTU1395","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema"
"OTU81","Bacteria","Cyanobacteria","Cyanobacteria","uncl_Cyanobacteria","uncl_Cyanobacteria","uncl_Cyanobacteria"
"OTU713","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","uncl_Flavobacteriaceae"
"OTU875","Bacteria","Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria"
"OTU1051","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus"
"OTU302","Bacteria","Proteobacteria","Gammaproteobacteria","uncl_Gammaproteobacteria","uncl_Gammaproteobacteria","uncl_Gammaproteobacteria"
"OTU1321","Bacteria","Acidobacteria","Acidobacteria_Gp17","uncl_Acidobacteria_Gp17","uncl_Acidobacteria_Gp17","uncl_Acidobacteria_Gp17"
"OTU357","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","uncl_Erythrobacteraceae"
"OTU1699","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","uncl_Hyphomonadaceae"
"OTU190","Bacteria","Acidobacteria","Acidobacteria_Gp6","uncl_Acidobacteria_Gp6","uncl_Acidobacteria_Gp6","Gp6"
"OTU946","Bacteria","Acidobacteria","Acidobacteria_Gp1","uncl_Acidobacteria_Gp1","uncl_Acidobacteria_Gp1","uncl_Acidobacteria_Gp1"
"OTU1227","Bacteria","Bacteroidetes","uncl_Bacteroidetes","uncl_Bacteroidetes","uncl_Bacteroidetes","uncl_Bacteroidetes"
"OTU1987","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","uncl_Flavobacteriales","uncl_Flavobacteriales"
"OTU521","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium"
"OTU1999","Bacteria","Verrucomicrobia","Spartobacteria","uncl_Spartobacteria","uncl_Spartobacteria","uncl_Spartobacteria"
"OTU2186","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","uncl_Enterobacterales","uncl_Enterobacterales"
"OTU66","Bacteria","Acidobacteria","Acidobacteria_Gp7","uncl_Acidobacteria_Gp7","uncl_Acidobacteria_Gp7","Gp7"
"OTU1792","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","uncl_Micrococcaceae"
"OTU841","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","uncl_Cellvibrionales","uncl_Cellvibrionales"
"OTU1132","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","uncl_Planococcaceae"
"OTU2021","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","uncl_Carnobacteriaceae"
"OTU2317","Bacteria","Armatimonadetes","uncl_Armatimonadetes","uncl_Armatimonadetes","uncl_Armatimonadetes","uncl_Armatimonadetes"
"OTU755","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","uncl_Planctomycetales","uncl_Planctomycetales"
"OTU2159","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Gemmataceae","uncl_Gemmataceae"
"OTU840","Bacteria","Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria"
"OTU1666","Bacteria","Chloroflexi","uncl_Chloroflexi","uncl_Chloroflexi","uncl_Chloroflexi","uncl_Chloroflexi"
"OTU614","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","uncl_Cytophagales","uncl_Cytophagales"
"OTU1056","Bacteria","Armatimonadetes","uncl_Armatimonadetes","uncl_Armatimonadetes","uncl_Armatimonadetes","Armatimonadetes_gp4"
"OTU378","Bacteria","Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria"
"OTU1081","Bacteria","Acidobacteria","Acidobacteria_Gp7","uncl_Acidobacteria_Gp7","uncl_Acidobacteria_Gp7","uncl_Acidobacteria_Gp7"
