"","Survey_OTU","Domain","Phylum","Class","Order","Survey_Order_Mean"
"92","OTU705","Bacteria","Deinococcus-Thermus","Deinococci","uncl_Deinococci",0.0135628329058986
"24","OTU1627","Bacteria","Chlamydiae","uncl_Chlamydiae","uncl_Chlamydiae",0.00986387847701716
"36","OTU2029","Bacteria","Balneolaeota","Balneolia","Balneolales",0.00986387847701716
"43","OTU2271","Bacteria","Poribacteria","uncl_Poribacteria","uncl_Poribacteria",0.00986387847701716
"30","OTU1832","Bacteria","Deinococcus-Thermus","Deinococci","Thermales",0.00739790885776287
"44","OTU2272","Bacteria","Proteobacteria","Oligoflexia","uncl_Oligoflexia",0.00739790885776287
"33","OTU1988","Bacteria","Verrucomicrobia","Opitutae","uncl_Opitutae",0.00616492404813573
"13","OTU1395","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales",0.00493193923850858
"16","OTU1458","Bacteria","Chloroflexi","Anaerolineae","Aggregatilineales",0.00493193923850858
"28","OTU1746","Bacteria","Bacteroidetes","Chitinophagia","uncl_Chitinophagia",0.00369895442888144
"103","OTU934","Bacteria","Nitrospirae","uncl_Nitrospirae","uncl_Nitrospirae",0.00369895442888144
"3","OTU1143","Bacteria","Chlamydiae","Chlamydiia","Chlamydiales",0.00246596961925429
"11","OTU1323","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales",0.00246596961925429
"32","OTU1917","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales",0.00246596961925429
"34","OTU1989","Bacteria","Actinobacteria","Nitriliruptoria","uncl_Nitriliruptoria",0.00246596961925429
"104","OTU937","Bacteria","Abditibacteriota","Abditibacteria","uncl_Abditibacteria",0.00246596961925429
"15","OTU1428","Bacteria","Planctomycetes","Phycisphaerae","uncl_Phycisphaerae",0.00123298480962715
"26","OTU1664","Bacteria","Proteobacteria","Gammaproteobacteria","Nevskiales",0.00123298480962715
"46","OTU2341","Bacteria","Firmicutes","Clostridia","uncl_Clostridia",0.00123298480962715
